run_name,query_type,num_queries,precision_at_5,precision_at_10,recall_at_10,recall_at_20,map,ndcg_at_5,ndcg_at_10,judged_coverage
dense_single_vector,text,10,0.76,0.64,0.6443720005484711,0.9254799122446181,0.7305995336833367,0.7616412870687107,0.7522609618279412,0.785
dense_single_vector,all,20,0.8,0.6699999999999999,0.66617568705804,0.9470659365144659,0.765435832694361,0.7383120835215424,0.7385852566288509,0.775
dense_single_vector,image,5,0.8800000000000001,0.7,0.6961904761904762,0.9608333333333334,0.8369081723281552,0.7500183299431257,0.7532366660552039,0.78
dense_single_vector,image_text,5,0.8,0.7000000000000001,0.6797682709447416,0.9764705882352942,0.7636360910826152,0.6799474300056232,0.6965824368043168,0.75
sparse_splade,text,10,0.6,0.55,0.5061819552996024,0.6622408473879062,0.5443999002558598,0.5356515356529381,0.5744450613498586,0.74
sparse_splade,all,15,0.4266666666666667,0.38,0.3452977741213035,0.44933703551350607,0.3708437441594819,0.36939316754658413,0.3912934449003379,0.5766666666666665
sparse_splade,image_text,5,0.08,0.04,0.023529411764705882,0.023529411764705882,0.023731431966726085,0.03687643133387625,0.024990212001296575,0.25
hybrid_prefusion,text,10,0.72,0.5900000000000001,0.5481657068421775,0.7756989579048403,0.6742645522877735,0.7003003597469767,0.681482650764354,0.7300000000000001
hybrid_prefusion,all,20,0.6799999999999999,0.5549999999999999,0.5288197178638356,0.7811549602358425,0.6454409237184185,0.601811375844852,0.6028523233969185,0.72
hybrid_prefusion,image,5,0.8800000000000001,0.7,0.6961904761904762,0.9608333333333334,0.8369081723281552,0.7500183299431257,0.7532366660552039,0.78
hybrid_prefusion,image_text,5,0.4,0.34,0.32275698158051097,0.6123885918003565,0.39632641796997226,0.2566264539423294,0.2952073260037615,0.64
hybrid_cross_encoder,text,10,0.6799999999999999,0.54,0.5260348964760728,0.7312871931989579,0.6128308184394721,0.6257856411327798,0.6424237808005133,0.62
hybrid_cross_encoder,all,15,0.48000000000000004,0.38,0.3645936742995566,0.517471319530143,0.44498387544583323,0.4284957675976404,0.43888889120867697,0.48333333333333334
hybrid_cross_encoder,image_text,5,0.08,0.06000000000000001,0.04171122994652406,0.08983957219251337,0.10928998945855554,0.03391602052736162,0.03181911202500422,0.21000000000000002
hybrid_cross_encoder_fused,text,10,0.7,0.5599999999999999,0.5402505827505827,0.7531499382969972,0.6476457681552417,0.6533220972889024,0.6589215857579769,0.6700000000000002
hybrid_cross_encoder_fused,all,20,0.47000000000000003,0.425,0.4020873489255842,0.5886941122602887,0.46817878756143855,0.38535049544160926,0.43909162284573455,0.5725
hybrid_cross_encoder_fused,image,5,0.39999999999999997,0.48,0.45619047619047615,0.7286904761904762,0.41845727930321897,0.20240921684754393,0.38322571744961975,0.71
hybrid_cross_encoder_fused,image_text,5,0.08,0.1,0.07165775401069518,0.11978609625668449,0.15896633463205176,0.03234857034108817,0.0552976024173644,0.24
